,Location,Times,Tweets
321,Washington,2018-03-02 08:15:00,10
322,Washington,2018-03-02 08:30:00,6
323,Washington,2018-03-02 08:45:00,2
324,Washington,2018-03-02 09:00:00,5
325,Washington,2018-03-02 09:15:00,11
326,Washington,2018-03-02 09:30:00,6
327,Washington,2018-03-02 09:45:00,6
328,Washington,2018-03-02 10:00:00,10
329,Washington,2018-03-02 10:15:00,12
330,Washington,2018-03-02 10:30:00,16
331,Washington,2018-03-02 10:45:00,11
332,Washington,2018-03-02 11:00:00,14
333,Washington,2018-03-02 11:15:00,20
334,Washington,2018-03-02 11:30:00,28
335,Washington,2018-03-02 11:45:00,29
336,Washington,2018-03-02 12:00:00,28
337,Washington,2018-03-02 12:15:00,21
338,Washington,2018-03-02 12:30:00,22
339,Washington,2018-03-02 12:45:00,19
340,Washington,2018-03-02 13:00:00,21
341,Washington,2018-03-02 13:15:00,14
342,Washington,2018-03-02 13:30:00,23
343,Washington,2018-03-02 13:45:00,19
344,Washington,2018-03-02 14:00:00,7
345,Washington,2018-03-02 14:15:00,15
346,Washington,2018-03-02 14:30:00,12
347,Washington,2018-03-02 14:45:00,11
348,Washington,2018-03-02 15:00:00,9
349,Washington,2018-03-02 15:15:00,9
350,Washington,2018-03-02 15:30:00,11
351,Washington,2018-03-02 15:45:00,10
352,Washington,2018-03-02 16:00:00,11
353,Washington,2018-03-02 16:15:00,15
354,Washington,2018-03-02 16:30:00,8
355,Washington,2018-03-02 16:45:00,20
356,Washington,2018-03-02 17:00:00,17
357,Washington,2018-03-02 17:15:00,7
358,Washington,2018-03-02 17:30:00,6
359,Washington,2018-03-02 17:45:00,9
360,Washington,2018-03-02 18:00:00,8
361,Washington,2018-03-02 18:15:00,9
362,Washington,2018-03-02 18:30:00,8
363,Washington,2018-03-02 18:45:00,5
364,Washington,2018-03-02 19:00:00,8
365,Washington,2018-03-02 19:15:00,8
366,Washington,2018-03-02 19:30:00,6
367,Washington,2018-03-02 19:45:00,6
368,Washington,2018-03-02 20:00:00,8
369,Washington,2018-03-02 20:15:00,7
